"Date","Open","High","Low","Close","Adj Close","Volume"
"2016-12-01",220.729996,228.339996,219.149994,223.529999,201.055847,1821910200
"2017-01-01",225.039993,229.710007,223.880005,227.529999,205.85994,1482408500
"2017-02-01",227.529999,237.309998,226.820007,236.470001,213.948532,1365136600
"2017-03-01",238.389999,240.320007,231.610001,235.740005,213.287994,1921474100
"2017-04-01",235.800003,239.529999,232.509995,238.080002,216.34227,1549613700
"2017-05-01",238.679993,242.080002,235.429993,241.440002,219.395462,1492547000
"2017-06-01",241.970001,245.009995,239.960007,241.800003,219.722595,1572753000
"2017-07-01",242.880005,248,240.339996,246.770004,225.332336,1055908800
"2017-08-01",247.460007,248.910004,241.830002,247.490005,225.989838,1557031500
"2017-09-01",247.919998,251.320007,244.949997,251.229996,229.404892,1286405100
"2017-10-01",251.490005,257.890015,251.289993,257.149994,235.975937,1320624600
"2017-11-01",258.040009,266.049988,255.630005,265.01001,243.188751,1365620900
"2017-12-01",264.76001,268.600006,260.76001,266.859985,244.886353,1715222900
"2018-01-01",267.839996,286.630005,267.399994,281.899994,260.010284,1985506700
"2018-02-01",281.070007,283.059998,252.919998,271.649994,250.556183,2923722000
"2018-03-01",271.410004,280.410004,257.829987,263.149994,242.716202,2323561800
"2018-04-01",262.549988,271.299988,254.669998,264.51001,244.947723,1998466500
"2018-05-01",263.869995,274.25,259.049988,270.940002,250.902161,1606397200
"2018-06-01",272.410004,279.480011,268.48999,271.279999,251.21701,1599001000
"2018-07-01",269.51001,284.369995,269.23999,281.329987,261.693634,1266892500
"2018-08-01",281.559998,291.73999,279.160004,290.309998,270.046783,1308443700
"2018-09-01",289.839996,293.940002,286.709991,290.720001,270.428192,1228103300
"2018-10-01",292.109985,293.209991,259.850006,270.630005,252.880066,3024345800
"2018-11-01",271.600006,281.220001,263.070007,275.649994,257.57074,2021061200
"2018-12-01",280.279999,280.399994,233.759995,249.919998,233.52832,3102780500
"2019-01-01",245.979996,270.470001,243.669998,269.929993,253.698883,2048691700
"2019-02-01",270.149994,281.309998,267.829987,278.679993,261.922729,1371716300
"2019-03-01",280.440002,285.179993,272.420013,282.480011,265.494171,1678081300
"2019-04-01",284.700012,294.450012,284.399994,294.019989,277.557495,1209204700
"2019-05-01",294.720001,294.950012,275.23999,275.269989,259.85733,1845593200
"2019-06-01",275.309998,296.309998,273.089996,293,276.594635,1340435600
"2019-07-01",296.679993,302.230011,294.329987,297.429993,282.142151,1110102300
"2019-08-01",297.600006,300.869995,281.720001,292.450012,277.418152,2034004800
"2019-09-01",290.570007,302.630005,289.269989,296.769989,281.516113,1303830000
"2019-10-01",297.73999,304.549988,284.820007,303.329987,289.067688,1386748300
"2019-11-01",304.920013,315.480011,304.73999,314.309998,299.531372,1037123500
"2019-12-01",314.589996,323.799988,307.130005,321.859985,306.72644,1285175800
"2020-01-01",323.540009,332.950012,320.359985,321.730011,308.109955,1392003800
"2020-02-01",323.350006,339.079987,285.540009,296.26001,283.718201,2110214900
"2020-03-01",298.209991,313.839996,218.259995,257.75,246.838486,5926017600
"2020-04-01",247.979996,294.880005,243.899994,290.480011,279.818726,2819312300
"2020-05-01",285.309998,306.839996,272.98999,304.320007,293.150757,1910460500
"2020-06-01",303.619995,323.410004,296.73999,308.359985,297.042419,2358674500
"2020-07-01",309.570007,327.230011,309.070007,326.519989,315.920074,1505145300
"2020-08-01",328.320007,351.299988,327.730011,349.309998,337.970276,1045563300
"2020-09-01",350.209991,358.75,319.799988,334.890015,324.018402,1814712700
"2020-10-01",337.690002,354.019989,322.600006,326.540009,317.204132,1629016100
"2020-11-01",330.200012,364.380005,327.23999,362.059998,351.708557,1535244300
"2020-12-01",365.570007,378.459991,362.029999,373.880005,363.190613,1344541500
"2021-01-01",375.309998,385.850006,364.820007,370.070007,361.021942,1402265400
"2021-02-01",373.720001,394.170013,370.380005,380.359985,371.060333,1307806200
"2021-03-01",385.589996,398.119995,371.880005,396.329987,386.639862,2401715800
"2021-04-01",398.399994,420.720001,398.179993,417.299988,408.430511,1462106600
"2021-05-01",419.429993,422.820007,404,420.040009,411.112335,1547235900
"2021-06-01",422.570007,428.779999,414.700012,428.059998,418.961792,1282152400
"2021-07-01",428.869995,441.799988,421.970001,438.51001,430.593872,1422104700
"2021-08-01",440.339996,453.070007,436.100006,451.559998,443.408295,1254001400
"2021-09-01",452.559998,454.049988,428.779999,429.140015,421.393036,1745559600
"2021-10-01",430.980011,459.559998,426.359985,459.25,452.404175,1508665200
"2021-11-01",460.299988,473.540009,455.299988,455.559998,448.769196,1335351500
"2021-12-01",461.640015,479,448.920013,474.959991,467.880035,1927433900
"2022-01-01",476.299988,479.980011,420.76001,449.910004,444.760498,2485167800
"2022-02-01",450.679993,458.119995,410.640015,436.630005,431.632507,2297975100
"2022-03-01",435.040009,462.070007,415.119995,451.640015,446.470703,2380929500
"2022-04-01",453.309998,457.829987,411.209991,412,408.549683,1856757400
"2022-05-01",412.070007,429.660004,380.540009,412.929993,409.471893,2418478100
"2022-06-01",415.170013,417.440002,362.170013,377.25,374.090698,1958611900
"2022-07-01",376.559998,413.029999,371.040009,411.98999,410.304535,1437748400
"2022-08-01",409.149994,431.730011,395.040009,395.179993,393.563293,1443394400
"2022-09-01",392.890015,411.730011,357.040009,357.179993,355.71875,1998908600
"2022-10-01",361.079987,389.519989,348.109985,386.209991,386.209991,2024732000
"2022-11-01",390.140015,402.309998,368.790009,398.48999,398.48999,1034420600
